cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,n_edges_internal,share_depth4
25,15,0,3626010.0,100000008461532100;100000000791285100;100000006704530100;100000003470579100;100000002514975100,"15 узлов, 0 seed, внутренний оборот 3,6 млн KZT; вход сосредоточен у 100000000791285100 (1,1 млн KZT, 31% внутреннего оборота); 6 узлов на границе выгрузки",15,0.4
26,15,0,3436955.0,100000004221668100;100000005171642100;100000006664478100;100000003111305100;100000006240939100,"15 узлов, 0 seed, внутренний оборот 3,4 млн KZT; вход сосредоточен у 100000004221668100 (1,0 млн KZT, 30% внутреннего оборота); 3 узлов на границе выгрузки",17,0.2
27,14,0,1605604.0,100000007382543100;100000008213966100;100000000838385100;100000003001661100;100000004407753100,"14 узлов, 0 seed, внутренний оборот 1,6 млн KZT; вход сосредоточен у 100000000838385100 (437 тыс. KZT, 27% внутреннего оборота); 6 узлов на границе выгрузки",16,0.4286
28,13,1,1392916.0,100000006232815100;100000001380054100;100000005077484100;100000000703894100;100000001782980100,"13 узлов, 1 seed, внутренний оборот 1,4 млн KZT; вход сосредоточен у 100000003164661100 (596 тыс. KZT, 43% внутреннего оборота); 0 узлов на границе выгрузки",14,0.0
29,13,0,6748650.0,100000000673868100;100000007442518100;100000008258083100;100000001785161100;100000004673335100,"13 узлов, 0 seed, внутренний оборот 6,7 млн KZT; вход сосредоточен у 100000008258083100 (3,1 млн KZT, 47% внутреннего оборота); 2 узлов на границе выгрузки",15,0.1538
30,11,0,3784703.0,100000002175422100;100000003557488100;100000003004487100;100000002975437100;100000001317336100,"11 узлов, 0 seed, внутренний оборот 3,8 млн KZT; вход сосредоточен у 100000005042822100 (1,0 млн KZT, 26% внутреннего оборота); 3 узлов на границе выгрузки",13,0.2727
31,10,0,322010.0,100000004552204100;100000007322059100;100000008172352100;100000003646145100;100000001597505100,"10 узлов, 0 seed, внутренний оборот 322 тыс. KZT; вход сосредоточен у 100000000993112100 (141 тыс. KZT, 44% внутреннего оборота); 1 узлов на границе выгрузки",10,0.1
32,10,0,1727065.0,100000004017410100;100000004076740100;100000005519998100;100000004336312100;100000004467157100,"10 узлов, 0 seed, внутренний оборот 1,7 млн KZT; вход сосредоточен у 100000005767403100 (1,1 млн KZT, 64% внутреннего оборота); 2 узлов на границе выгрузки",17,0.2
33,9,0,1406982.0,100000002217161100;100000001445848100;100000007647294100;100000002242066100;100000008254576100,"9 узлов, 0 seed, внутренний оборот 1,4 млн KZT; вход сосредоточен у 100000001445848100 (546 тыс. KZT, 39% внутреннего оборота); 1 узлов на границе выгрузки",9,0.1111
34,8,0,2473417.91,100000008175078100;100000004906181100;100000008675322100;100000000557536100;100000008349740100,"8 узлов, 0 seed, внутренний оборот 2,5 млн KZT; вход сосредоточен у 100000008175078100 (1,8 млн KZT, 75% внутреннего оборота); 7 узлов на границе выгрузки",7,0.875
35,8,0,389000.0,100000005507142100;100000002612809100;100000005264874100;100000001825934100;100000002214207100,"8 узлов, 0 seed, внутренний оборот 389 тыс. KZT; вход сосредоточен у 100000002214207100 (97 тыс. KZT, 25% внутреннего оборота); 4 узлов на границе выгрузки",9,0.5
36,7,0,143000.0,100000005911352100;100000004508696100;100000003962994100;100000002217806100;100000004549591100,"7 узлов, 0 seed, внутренний оборот 143 тыс. KZT; вход сосредоточен у 100000002217806100 (55 тыс. KZT, 38% внутреннего оборота); 2 узлов на границе выгрузки",7,0.2857
37,7,0,3077000.0,100000002241986100;100000001053894100;100000002594214100;100000004047887100;100000001286703100,"7 узлов, 0 seed, внутренний оборот 3,1 млн KZT; вход сосредоточен у 100000001053894100 (2,0 млн KZT, 65% внутреннего оборота); 6 узлов на границе выгрузки",6,0.8571
38,7,0,1765600.0,100000007865484100;100000008551752100;100000003631015100;100000004976946100;100000005745873100,"7 узлов, 0 seed, внутренний оборот 1,8 млн KZT; вход сосредоточен у 100000007865484100 (585 тыс. KZT, 33% внутреннего оборота); 6 узлов на границе выгрузки",6,0.8571
39,7,0,1268308.0,100000008011159100;100000006169033100;100000006232642100;100000005754335100;100000003664994100,"7 узлов, 0 seed, внутренний оборот 1,3 млн KZT; вход сосредоточен у 100000006232642100 (456 тыс. KZT, 36% внутреннего оборота); 2 узлов на границе выгрузки",7,0.2857
40,6,1,1615030.0,100000008659445100;100000008736940100;100000008193577100;100000008751429100;100000005456919100,"6 узлов, 1 seed, внутренний оборот 1,6 млн KZT; вход сосредоточен у 100000005456919100 (480 тыс. KZT, 30% внутреннего оборота); 0 узлов на границе выгрузки",14,0.0
41,6,1,1527967.0,100000000580561100;100000007939160100;100000005183943100;100000007930878100;100000000955444100,"6 узлов, 1 seed, внутренний оборот 1,5 млн KZT; вход сосредоточен у 100000007939160100 (795 тыс. KZT, 52% внутреннего оборота); 0 узлов на границе выгрузки",7,0.0
42,6,0,2540000.0,100000004717647100;100000004479404100;100000002922000100;100000002659103100;100000001533161100,"6 узлов, 0 seed, внутренний оборот 2,5 млн KZT; вход сосредоточен у 100000004479404100 (1,5 млн KZT, 58% внутреннего оборота); 4 узлов на границе выгрузки",6,0.6667
43,6,1,275885.0,100000005895525100;100000002462183100;100000005485830100;100000005056870100;100000007175718100,"6 узлов, 1 seed, внутренний оборот 276 тыс. KZT; вход сосредоточен у 100000005895525100 (120 тыс. KZT, 43% внутреннего оборота); 0 узлов на границе выгрузки",5,0.0
44,6,0,2534500.0,100000004722765100;100000003747133100;100000005075949100;100000002578653100;100000006527156100,"6 узлов, 0 seed, внутренний оборот 2,5 млн KZT; вход сосредоточен у 100000005075949100 (2,2 млн KZT, 88% внутреннего оборота); 3 узлов на границе выгрузки",5,0.5
45,6,0,720900.0,100000006638021100;100000008333492100;100000008761219100;100000002794374100;100000007472293100,"6 узлов, 0 seed, внутренний оборот 721 тыс. KZT; вход сосредоточен у 100000006638021100 (388 тыс. KZT, 54% внутреннего оборота); 4 узлов на границе выгрузки",5,0.6667
46,6,1,383300.0,100000005546031100;100000005547096100;100000004331458100;100000004094958100;100000005363908100,"6 узлов, 1 seed, внутренний оборот 383 тыс. KZT; вход сосредоточен у 100000004331458100 (250 тыс. KZT, 65% внутреннего оборота); 0 узлов на границе выгрузки",8,0.0
47,5,0,1189154.0,100000000291906100;100000000291908100;100000004670388100;100000004691350100;100000004722630100,"5 узлов, 0 seed, внутренний оборот 1,2 млн KZT; вход сосредоточен у 100000000291906100 (380 тыс. KZT, 32% внутреннего оборота); 2 узлов на границе выгрузки",5,0.4
48,5,0,172000.0,100000005031696100;100000004659919100;100000002700161100;100000008461217100;100000001223977100,"5 узлов, 0 seed, внутренний оборот 172 тыс. KZT; вход сосредоточен у 100000004659919100 (110 тыс. KZT, 64% внутреннего оборота); 2 узлов на границе выгрузки",4,0.4
49,5,0,338950.0,100000008190411100;100000003133045100;100000004747154100;100000004715209100;100000001498732100,"5 узлов, 0 seed, внутренний оборот 339 тыс. KZT; вход сосредоточен у 100000008190411100 (198 тыс. KZT, 59% внутреннего оборота); 4 узлов на границе выгрузки",4,0.8
50,5,1,2809200.0,100000008571433100;100000004135268100;100000004979498100;100000002738256100;100000007507343100,"5 узлов, 1 seed, внутренний оборот 2,8 млн KZT; вход сосредоточен у 100000004135268100 (1,2 млн KZT, 44% внутреннего оборота); 0 узлов на границе выгрузки",7,0.0
51,5,2,108007.0,100000006562026100;100000007347733100;100000006249740100;100000008129393100;100000006831291100,"5 узлов, 2 seed, внутренний оборот 108 тыс. KZT; вход сосредоточен у 100000006562026100 (75 тыс. KZT, 69% внутреннего оборота); 0 узлов на границе выгрузки",4,0.0
52,4,0,460000.0,100000006069103100;100000000201868100;100000003192220100;100000006787636100,"4 узлов, 0 seed, внутренний оборот 460 тыс. KZT; вход сосредоточен у 100000000201868100 (190 тыс. KZT, 41% внутреннего оборота); 0 узлов на границе выгрузки",4,0.0
53,4,0,518000.0,100000002205022100;100000003163886100;100000000629812100;100000001380107100,"4 узлов, 0 seed, внутренний оборот 518 тыс. KZT; вход сосредоточен у 100000003163886100 (500 тыс. KZT, 97% внутреннего оборота); 0 узлов на границе выгрузки",3,0.0
54,4,1,1404980.0,100000008601794100;100000001872484100;100000000785800100;100000002459163100,"4 узлов, 1 seed, внутренний оборот 1,4 млн KZT; вход сосредоточен у 100000001872484100 (871 тыс. KZT, 62% внутреннего оборота); 0 узлов на границе выгрузки",5,0.0
55,4,0,1595700.0,100000001052945100;100000001131403100;100000004616845100;100000005146665100,"4 узлов, 0 seed, внутренний оборот 1,6 млн KZT; вход сосредоточен у 100000001131403100 (1,6 млн KZT, 98% внутреннего оборота); 3 узлов на границе выгрузки",3,0.75
56,4,1,79050.0,100000004971871100;100000003148220100;100000006888238100;100000001852140100,"4 узлов, 1 seed, внутренний оборот 79 тыс. KZT; вход сосредоточен у 100000001852140100 (30 тыс. KZT, 38% внутреннего оборота); 0 узлов на границе выгрузки",4,0.0
57,4,0,332709.0,100000002513028100;100000004610802100;100000002516862100;100000004780083100,"4 узлов, 0 seed, внутренний оборот 333 тыс. KZT; вход сосредоточен у 100000004610802100 (241 тыс. KZT, 72% внутреннего оборота); 3 узлов на границе выгрузки",3,0.75
58,4,2,1499679.0,100000008418835100;100000008730021100;100000008701944100;100000004269433100,"4 узлов, 2 seed, внутренний оборот 1,5 млн KZT; вход сосредоточен у 100000008418835100 (1,4 млн KZT, 91% внутреннего оборота); 0 узлов на границе выгрузки",3,0.0
59,3,1,450000.0,100000002371751100;100000000769919100;100000007018630100,"3 узлов, 1 seed, внутренний оборот 450 тыс. KZT; вход сосредоточен у 100000000769919100 (250 тыс. KZT, 56% внутреннего оборота); 0 узлов на границе выгрузки",2,0.0
60,3,0,553830.0,100000003321895100;100000003692843100;100000002371892100,"3 узлов, 0 seed, внутренний оборот 554 тыс. KZT; вход сосредоточен у 100000003692843100 (510 тыс. KZT, 92% внутреннего оборота); 2 узлов на границе выгрузки",2,0.6667
61,3,1,390167.62,100000002781227100;100000002796853100;100000008522127100,"3 узлов, 1 seed, внутренний оборот 390 тыс. KZT; вход сосредоточен у 100000002796853100 (199 тыс. KZT, 51% внутреннего оборота); 0 узлов на границе выгрузки",3,0.0
62,3,0,1557988.0,100000004035925100;100000008619159100;100000008258458100,"3 узлов, 0 seed, внутренний оборот 1,6 млн KZT; вход сосредоточен у 100000004035925100 (1,1 млн KZT, 71% внутреннего оборота); 2 узлов на границе выгрузки",2,0.6667
63,3,1,450816.0,100000005034574100;100000007283257100;100000004388983100,"3 узлов, 1 seed, внутренний оборот 451 тыс. KZT; вход сосредоточен у 100000005034574100 (259 тыс. KZT, 57% внутреннего оборота); 0 узлов на границе выгрузки",2,0.0
64,3,0,627870.0,100000004666651100;100000008628231100;100000005664632100,"3 узлов, 0 seed, внутренний оборот 628 тыс. KZT; вход сосредоточен у 100000004666651100 (429 тыс. KZT, 68% внутреннего оборота); 0 узлов на границе выгрузки",2,0.0
65,2,0,761255.0,100000004586598100;100000000583220100,"2 узлов, 0 seed, внутренний оборот 761 тыс. KZT; вход сосредоточен у 100000004586598100 (761 тыс. KZT, 100% внутреннего оборота); 1 узлов на границе выгрузки",1,0.5
66,2,1,30000.0,100000003980083100;100000003200071100,"2 узлов, 1 seed, внутренний оборот 30 тыс. KZT; вход сосредоточен у 100000003980083100 (30 тыс. KZT, 100% внутреннего оборота); 0 узлов на границе выгрузки",1,0.0
67,2,1,81465.0,100000003865939100;100000005392290100,"2 узлов, 1 seed, внутренний оборот 81 тыс. KZT; вход сосредоточен у 100000003865939100 (81 тыс. KZT, 100% внутреннего оборота); 0 узлов на границе выгрузки",1,0.0
68,2,0,584900.0,100000008430691100;100000007330432100,"2 узлов, 0 seed, внутренний оборот 585 тыс. KZT; вход сосредоточен у 100000007330432100 (585 тыс. KZT, 100% внутреннего оборота); 1 узлов на границе выгрузки",1,0.5
69,2,0,857500.0,100000008324800100;100000007390016100,"2 узлов, 0 seed, внутренний оборот 858 тыс. KZT; вход сосредоточен у 100000007390016100 (511 тыс. KZT, 60% внутреннего оборота); 0 узлов на границе выгрузки",2,0.0
70,1,1,0.0,100000000456947100,"1 узел, 1 seed, внутренний оборот 0 KZT; внутренних переводов нет; 0 узлов на границе выгрузки",0,0.0
71,1,1,0.0,100000003265658100,"1 узел, 1 seed, внутренний оборот 0 KZT; внутренних переводов нет; 0 узлов на границе выгрузки",0,0.0
72,1,1,0.0,100000003349739100,"1 узел, 1 seed, внутренний оборот 0 KZT; внутренних переводов нет; 0 узлов на границе выгрузки",0,0.0
73,1,1,0.0,100000003770083100,"1 узел, 1 seed, внутренний оборот 0 KZT; внутренних переводов нет; 0 узлов на границе выгрузки",0,0.0
74,1,1,0.0,100000004021459100,"1 узел, 1 seed, внутренний оборот 0 KZT; внутренних переводов нет; 0 узлов на границе выгрузки",0,0.0
75,1,1,0.0,100000004174835100,"1 узел, 1 seed, внутренний оборот 0 KZT; внутренних переводов нет; 0 узлов на границе выгрузки",0,0.0
76,1,1,0.0,100000005017150100,"1 узел, 1 seed, внутренний оборот 0 KZT; внутренних переводов нет; 0 узлов на границе выгрузки",0,0.0
77,1,1,0.0,100000005087431100,"1 узел, 1 seed, внутренний оборот 0 KZT; внутренних переводов нет; 0 узлов на границе выгрузки",0,0.0
78,1,1,0.0,100000005235389100,"1 узел, 1 seed, внутренний оборот 0 KZT; внутренних переводов нет; 0 узлов на границе выгрузки",0,0.0
79,1,1,0.0,100000005480435100,"1 узел, 1 seed, внутренний оборот 0 KZT; внутренних переводов нет; 0 узлов на границе выгрузки",0,0.0
80,1,1,0.0,100000005495722100,"1 узел, 1 seed, внутренний оборот 0 KZT; внутренних переводов нет; 0 узлов на границе выгрузки",0,0.0
81,1,1,0.0,100000005550592100,"1 узел, 1 seed, внутренний оборот 0 KZT; внутренних переводов нет; 0 узлов на границе выгрузки",0,0.0
82,1,1,0.0,100000005560900100,"1 узел, 1 seed, внутренний оборот 0 KZT; внутренних переводов нет; 0 узлов на границе выгрузки",0,0.0
83,1,1,0.0,100000005568407100,"1 узел, 1 seed, внутренний оборот 0 KZT; внутренних переводов нет; 0 узлов на границе выгрузки",0,0.0
84,1,1,0.0,100000008117324100,"1 узел, 1 seed, внутренний оборот 0 KZT; внутренних переводов нет; 0 узлов на границе выгрузки",0,0.0
85,1,1,0.0,100000008205000100,"1 узел, 1 seed, внутренний оборот 0 KZT; внутренних переводов нет; 0 узлов на границе выгрузки",0,0.0
86,1,1,0.0,100000008513251100,"1 узел, 1 seed, внутренний оборот 0 KZT; внутренних переводов нет; 0 узлов на границе выгрузки",0,0.0
87,1,1,0.0,100000008669037100,"1 узел, 1 seed, внутренний оборот 0 KZT; внутренних переводов нет; 0 узлов на границе выгрузки",0,0.0
88,1,1,0.0,100000008701222100,"1 узел, 1 seed, внутренний оборот 0 KZT; внутренних переводов нет; 0 узлов на границе выгрузки",0,0.0
